source	target	correct
http://oaei.ontologymatching.org/2010/IIMBDATA/en/anthony_daniels	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item6675204542847069908	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/anakin_skywalker	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item626563815816882216	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/nairobi	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item5732486154834428052	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/botswana	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item2769870129572232740	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/cootamundra	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item3993003381255156728	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/fort_collins	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item880785139037320014	1
http://oaei.ontologymatching.org/2010/IIMBDATA/m/0bvd49t	http://oaei.ontologymatching.org/2010/IIMBDATA/m/item4826816421905598931	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/stuart_freeborn	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item2268724605791201354	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/breha_organa	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item4096467713294196962	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/windhoek	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item8286633202153259486	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/territory_of_papua_and_new_guinea	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item4830372195285093040	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/india	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item5809462467657224937	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/richard_marquand	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item4888823450928729751	1
http://oaei.ontologymatching.org/2010/IIMBDATA/m/0bvgm55	http://oaei.ontologymatching.org/2010/IIMBDATA/m/item6684156463076713384	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/malta	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item771967112090699402	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/luke_skywalker	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item4505631045095060855	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/kiribati	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item952611745804394729	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/saint_kitts_and_nevis	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item8473954447049728909	1
http://oaei.ontologymatching.org/2010/IIMBDATA/m/0bvgm3x	http://oaei.ontologymatching.org/2010/IIMBDATA/m/item3059172806629434480	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/jeremy_bulloch	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item2879386112167284961	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/georgetown_guyana	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item614814828304067962	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/georgia	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item8596721533018924093	1
http://oaei.ontologymatching.org/2010/IIMBDATA/m/0bvd6w8	http://oaei.ontologymatching.org/2010/IIMBDATA/m/item4704546328362570333	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/silas_carson	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item671285417228574271	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/pernilla_august	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item4679567124427925639	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/swaziland	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item2458481464846204201	1
http://oaei.ontologymatching.org/2010/IIMBDATA/m/01xpnvx	http://oaei.ontologymatching.org/2010/IIMBDATA/m/item1624276491422287693	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/united_kingdom	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item1994302817741746967	1
http://oaei.ontologymatching.org/2010/IIMBDATA/m/0bvgly9	http://oaei.ontologymatching.org/2010/IIMBDATA/m/item8141696064091718543	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/chisinau	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item6276064827193793244	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/birmingham	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item6431856686629390084	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/vientiane	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item7342286238786725379	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/honiara	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item990648063186124508	1
http://oaei.ontologymatching.org/2010/IIMBDATA/m/0bvgm3h	http://oaei.ontologymatching.org/2010/IIMBDATA/m/item4985435279799277639	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/zambia	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item2308356467983937994	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/roseau	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item4320682164895299956	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/mbabane	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item2104379138752077367	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/grenada	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item2677027905222193924	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/australian_capital_territory	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item9117232527615265382	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/bishkek	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item6751282800540170947	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/federated_states_of_micronesia	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item8503836162534259051	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/united_states	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item2566571465077574323	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/charlotte_amalie	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item4079763360197360340	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/namibia	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item9191889621496622495	1
http://oaei.ontologymatching.org/2010/IIMBDATA/en/antigua_and_barbuda	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item635359839573506221	1
