source	traget
http://oaei.ontologymatching.org/2010/IIMBDATA/en/anthony_daniels	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item6675204542847069908
http://oaei.ontologymatching.org/2010/IIMBDATA/en/anakin_skywalker	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item626563815816882216
http://oaei.ontologymatching.org/2010/IIMBDATA/en/nairobi	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item5732486154834428052
http://oaei.ontologymatching.org/2010/IIMBDATA/en/botswana	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item2769870129572232740
http://oaei.ontologymatching.org/2010/IIMBDATA/en/cootamundra	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item3993003381255156728
http://oaei.ontologymatching.org/2010/IIMBDATA/en/fort_collins	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item880785139037320014
http://oaei.ontologymatching.org/2010/IIMBDATA/m/0bvd49t	http://oaei.ontologymatching.org/2010/IIMBDATA/m/item4826816421905598931
http://oaei.ontologymatching.org/2010/IIMBDATA/en/stuart_freeborn	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item2268724605791201354
http://oaei.ontologymatching.org/2010/IIMBDATA/en/breha_organa	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item4096467713294196962
http://oaei.ontologymatching.org/2010/IIMBDATA/en/windhoek	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item8286633202153259486
http://oaei.ontologymatching.org/2010/IIMBDATA/en/territory_of_papua_and_new_guinea	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item4830372195285093040
http://oaei.ontologymatching.org/2010/IIMBDATA/en/india	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item5809462467657224937
http://oaei.ontologymatching.org/2010/IIMBDATA/en/richard_marquand	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item4888823450928729751
http://oaei.ontologymatching.org/2010/IIMBDATA/m/0bvgm55	http://oaei.ontologymatching.org/2010/IIMBDATA/m/item6684156463076713384
http://oaei.ontologymatching.org/2010/IIMBDATA/en/malta	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item771967112090699402
http://oaei.ontologymatching.org/2010/IIMBDATA/en/luke_skywalker	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item4505631045095060855
http://oaei.ontologymatching.org/2010/IIMBDATA/en/kiribati	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item952611745804394729
http://oaei.ontologymatching.org/2010/IIMBDATA/en/saint_kitts_and_nevis	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item8473954447049728909
http://oaei.ontologymatching.org/2010/IIMBDATA/m/0bvgm3x	http://oaei.ontologymatching.org/2010/IIMBDATA/m/item3059172806629434480
http://oaei.ontologymatching.org/2010/IIMBDATA/en/jeremy_bulloch	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item2879386112167284961
http://oaei.ontologymatching.org/2010/IIMBDATA/en/georgetown_guyana	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item614814828304067962
http://oaei.ontologymatching.org/2010/IIMBDATA/en/georgia	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item8596721533018924093
http://oaei.ontologymatching.org/2010/IIMBDATA/m/0bvd6w8	http://oaei.ontologymatching.org/2010/IIMBDATA/m/item4704546328362570333
http://oaei.ontologymatching.org/2010/IIMBDATA/en/silas_carson	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item671285417228574271
http://oaei.ontologymatching.org/2010/IIMBDATA/en/pernilla_august	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item4679567124427925639
http://oaei.ontologymatching.org/2010/IIMBDATA/en/swaziland	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item2458481464846204201
http://oaei.ontologymatching.org/2010/IIMBDATA/m/01xpnvx	http://oaei.ontologymatching.org/2010/IIMBDATA/m/item1624276491422287693
http://oaei.ontologymatching.org/2010/IIMBDATA/en/united_kingdom	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item1994302817741746967
http://oaei.ontologymatching.org/2010/IIMBDATA/m/0bvgly9	http://oaei.ontologymatching.org/2010/IIMBDATA/m/item8141696064091718543
http://oaei.ontologymatching.org/2010/IIMBDATA/en/chisinau	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item6276064827193793244
http://oaei.ontologymatching.org/2010/IIMBDATA/en/birmingham	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item6431856686629390084
http://oaei.ontologymatching.org/2010/IIMBDATA/en/vientiane	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item7342286238786725379
http://oaei.ontologymatching.org/2010/IIMBDATA/en/honiara	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item990648063186124508
http://oaei.ontologymatching.org/2010/IIMBDATA/m/0bvgm3h	http://oaei.ontologymatching.org/2010/IIMBDATA/m/item4985435279799277639
http://oaei.ontologymatching.org/2010/IIMBDATA/en/zambia	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item2308356467983937994
http://oaei.ontologymatching.org/2010/IIMBDATA/en/roseau	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item4320682164895299956
http://oaei.ontologymatching.org/2010/IIMBDATA/en/mbabane	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item2104379138752077367
http://oaei.ontologymatching.org/2010/IIMBDATA/en/grenada	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item2677027905222193924
http://oaei.ontologymatching.org/2010/IIMBDATA/en/australian_capital_territory	http://oaei.ontologymatching.org/2010/IIMBDATA/en/item9117232527615265382
